ID odboru,ID predmetu,ID skupiny
Z4V6FC,32S8G7,FPTCY8
 ,3VS8GX, 
 ,32S5LX, 
 ,8A51X4, 
 ,8PDF72, 
JKJY51,ASD584,9O1WOC
 ,32F8GX, 
 ,32S4GX, 
 ,22S8GX, 
RK8L3W,3TFG78,8G9WPR
 ,3ISH58,VEXWWO
 ,2AS871, 
 ,85AS20, 
9D7SW9,9IG24D,UUSB1Q
 ,0S1FG8,6TRV5X
 ,FUK451, 
 ,87ASK4, 
RSHWZB,74SI52,03TYJH
 ,9SK47S,EJW0NH
 ,4RT240, 
 ,8X6F8S, 
D137QC,7ST201,UDWFKC
 ,211KF8,I21AWG
 ,KAF715, 
 ,720TY9, 
OGQSFV,871SG1,SAONEZ
 ,5UI45S,0F6G2N
 ,8BM42S, 
 ,4KFH78, 
CM39UT,021SK3,5QA8MK
 ,150SEP,VXJ95A
 ,087KU9, 
 ,KUF741, 
64E0M5,41FIP7,CE01T9
 ,78SK78,3H6DIB
 ,127HG7, 
 ,5BFS41, 
DIIFKU,2FS547,T1QYV2
 ,3SRT78,IGOSS5
 ,7FGT95, 
 ,98SR56, 
ORE6QQ,5BA124,H3J4AN
 ,5BN110,DZ6ZFW
 ,2GH004, 
 ,2GH145, 
DEN2Z7,2HYF78,WG8NPN
 ,5BI111,FPURMQ
 ,5BL115, 
 ,5BL119, 
18XAM4,5XF078,6ICN03
 ,5CU351,NHQD60
 ,5WF684, 
 ,5JU679, 
RXP87I,5BL214,VL6AAF
 ,4BU271,WSZLWI
 ,3FG782, 
 ,5SD256, 
7E6HO4,5BL114,CWW25D
 ,5CDF56,W1DC9T
 ,5XF678, 
 ,5BUD51, 
