ID ucitela,ID predmetu
GMT2JB,32F8GX
 ,2AS871
 ,ASD584
 ,32S5LX
 ,8PDF72
 ,3TFG78
 ,22S8GX
 ,3VS8GX
 ,85AS20
 ,32S8G7
 ,3ISH58
 ,8A51X4
 ,32S4GX
A20FNQ,5WF684
 ,5BL214
 ,4BU271
 ,5CU351
 ,5CDF56
 ,5BUD51
 ,5BL114
 ,5JU679
 ,5XF078
 ,5XF678
 ,3FG782
 ,5SD256
CC2R34,78SK78
 ,KUF741
 ,5BFS41
 ,871SG1
 ,087KU9
 ,8BM42S
 ,4KFH78
 ,41FIP7
 ,5UI45S
 ,127HG7
 ,021SK3
 ,150SEP
L9UXND,211KF8
 ,9IG24D
 ,9SK47S
 ,FUK451
 ,7ST201
 ,0S1FG8
 ,8X6F8S
 ,KAF715
 ,720TY9
 ,74SI52
 ,4RT240
 ,87ASK4
N6YM29,3SRT78
 ,5BL115
 ,5BI111
 ,2GH145
 ,2HYF78
 ,5BN110
 ,2FS547
 ,5BL119
 ,2GH004
 ,5BA124
 ,7FGT95
 ,98SR56
