ID odboru,ID predmetu,ID skupiny
7E6HO4,5BUD51,CWW25D
 ,5CDF56, 
 ,5BL114, 
 ,5XF678, 
ORE6QQ,5BN110,DZ6ZFW
 ,2GH145,H3J4AN
 ,2GH004, 
 ,5BA124, 
CM39UT,KUF741,VXJ95A
 ,087KU9, 
 ,021SK3, 
 ,150SEP, 
JKJY51,22S8GX,9O1WOC
 ,ASD584, 
 ,32F8GX, 
 ,32S4GX, 
RXP87I,4BU271,VL6AAF
 ,5BL214,WSZLWI
 ,3FG782, 
 ,5SD256, 
18XAM4,5CU351,6ICN03
 ,5JU679, 
 ,5WF684, 
 ,5XF078, 
Z4V6FC,8PDF72,FPTCY8
 ,3VS8GX, 
 ,32S5LX, 
 ,32S8G7, 
 ,8A51X4, 
64E0M5,78SK78,CE01T9
 ,5BFS41,3H6DIB
 ,41FIP7, 
 ,127HG7, 
9D7SW9,FUK451,UUSB1Q
 ,9IG24D,6TRV5X
 ,0S1FG8, 
 ,87ASK4, 
OGQSFV,871SG1,0F6G2N
 ,8BM42S, 
 ,4KFH78, 
 ,5UI45S, 
D137QC,7ST201,UDWFKC
 ,211KF8,I21AWG
 ,KAF715, 
 ,720TY9, 
DEN2Z7,5BL119,WG8NPN
 ,5BL115,FPURMQ
 ,5BI111, 
 ,2HYF78, 
RSHWZB,74SI52,EJW0NH
 ,9SK47S, 
 ,8X6F8S,03TYJH
 ,4RT240, 
RK8L3W,2AS871,VEXWWO
 ,3TFG78,8G9WPR
 ,85AS20, 
 ,3ISH58, 
DIIFKU,98SR56,T1QYV2
 ,2FS547,IGOSS5
 ,3SRT78, 
 ,7FGT95, 
